id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1972,Amrutha Varshini,147,"Drama, Romance",1997,1997-01-29,Dinesh Babu,Kannada,1000000,"Ramesh Aravind,Sarath Babu,Niveditha Jain,Ramakrishna,Sathyapriya,Suhasini,Thara",http://www.imdb.com/title/tt5471570/?ref_=adv_li_tt
1973,Amrutham,0,Drama,2004,2004-12-24,Sibi Malayil,Malayalam,0,"Jayaram,Padmapriya,Bhavana,K.P.A.C. Lalitha,Sudhi Joshi,Jagathi Sreekumar,T.G. Ravi,Nedumudi Venu,Baburaj,Arun",http://www.imdb.com/title/tt0446272/?ref_=adv_li_tt
1974,Amshini,0,Drama,1987,1987-01-01,Krishnan Kartha,Hindi,0,"Marcus Bartley,Seema Biswas,Venu Gopal,Shammughom Pillai,Padmanbhan Thampi",http://www.imdb.com/title/tt3501576/?ref_=adv_li_tt
1975,Amu,102,Drama,2005,2005-01-07,Shonali Bose,Bengali,0,"Konkona Sen Sharma,Yashpal Sharma,Brinda Karat,Ankur Khanna,Chaiti Ghosh,Aparna Roy,Ashish Ghosh,Ruma Ghosh,Loveleen Mishra,Brajesh Mishra,Bharat Kapoor,Lushin Dubey,Rajendra Gupta,Ganeve Rajkotia,Kuljit Singh",http://www.imdb.com/title/tt0414713/?ref_=adv_li_tt
1976,Amudha,0,Drama,1975,1975,,Tamil,0,,http://www.imdb.com/title/tt2710258/?ref_=adv_li_tt
1977,Amudha Gaanam,0,,1985,,K. Rangaraj,Tamil,0,,http://www.imdb.com/title/tt0318986/?ref_=adv_li_tt
1978,Amulyam (Priceless),0,Drama,1978,1978-01-01,Akkineni Kutumba Rao,Hindi,0,,http://www.imdb.com/title/tt3766380/?ref_=adv_li_tt
1979,An August Requiem,102,,1982,,Victor Banerjee,English,0,"Jasbir Malik,Tanuja",http://www.imdb.com/title/tt0210553/?ref_=adv_li_tt
1980,An Encounter,0,Thriller,2012,2012-03-24,Aadish Keluskar,Hindi,0,"Uday Chandra,Karishma Gupte",http://www.imdb.com/title/tt3600732/?ref_=adv_li_tt
1981,An Episode from the Ramayana,0,"Adventure, Drama, Fantasy",1912,,,,0,,http://www.imdb.com/title/tt0367707/?ref_=adv_li_tt
1982,An Evening in Paris,168,"Action, Drama, Musical",1967,,Shakti Samanta,Hindi,0,"Shammi Kapoor,Sharmila Tagore,Sarita,K.N. Singh,Surendra Nath,David Abraham,M.B. Shetty,Rajendra Nath,Pran,Jacques Charrier",http://www.imdb.com/title/tt0074503/?ref_=adv_li_tt
1983,An Expression,0,,1988,,Prakash Jha,English,0,,http://www.imdb.com/title/tt0230199/?ref_=adv_li_tt
1984,An Human,101,"Drama, Mystery, Sci-Fi",2011,,Koushik Kr,Tamil,0,"Varadharaju Dhanapalan,Sadish Kumar Ganesan,Janaki J,Anirudh Raghav Kr,Karthik Nadarajan,Venkada Subramaniam",http://www.imdb.com/title/tt2123894/?ref_=adv_li_tt
1985,An Oasis of Hope,0,Biography,1980,1980,Mazahir Rahim,Urdu,800000,,http://www.imdb.com/title/tt1846465/?ref_=adv_li_tt
1986,Anaachadanam,0,,1969,,M. Krishnan Nair,Malayalam,0,"Adoor Bhasi,Jayabharati,Prem Nazir,Sheela,Sukumari",http://www.imdb.com/title/tt0255792/?ref_=adv_li_tt
1987,Anaadi Anant,0,,1986,,Prakash Jha,Hindi,0,"Surekha Sikri,Vasant Jasaljar,Suman Kumar",http://www.imdb.com/title/tt1545573/?ref_=adv_li_tt
