id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
64,Aaradhanai,0,,1981,,Prasad,Tamil,0,Goundamani,http://www.imdb.com/title/tt0278892/?ref_=adv_li_tt
65,Aaradhu Sinam,134,"Action, Crime, Thriller",2016,2016-02-26,Arivazhagan Venkatachalam,Tamil,35000000,"Arulnidhi,Aishwarya Rajesh,Aishwarya Dutta,Radha Ravi,Anupama Kumar,Tulasi,R.N.R. Manohar,Robo Shankar,Charlie,Ramesh Thilak",http://www.imdb.com/title/tt5304614/?ref_=adv_li_tt
66,Aaranya Kaandam,153,"Action, Comedy, Crime",2010,2011-06-10,Thiagarajan Kumararaja,Tamil,5,"Sampath Raj,Jackie Shroff,Ravi Krishna,Yasmin Ponnappa,Rambo Raj Kumar,Somasundaram,Guru Somasundaram,Master Vasanth,Ajay Raj,Sugunthan",http://www.imdb.com/title/tt1496729/?ref_=adv_li_tt
67,Aararo Aariraro,0,,1989,,Bhagyaraj,Tamil,0,"Bhagyaraj,Bhanupriya",http://www.imdb.com/title/tt0155468/?ref_=adv_li_tt
68,Aarilirindhu Aruvathu Varai,0,"Biography, Drama",1979,,S.P. Muthuraman,Tamil,0,"Jayalakshmi,Rajinikanth,Cho Ramaswamy,Thengai Srinivasan,Surulirajan,'Fatafat' Vijayalakshmi",http://www.imdb.com/title/tt0274314/?ref_=adv_li_tt
69,Aarohanam,90,"Drama, Family",2012,,Lakshmi Ramakrishnan,Tamil,0,"Viji Chandrashekhar,G. Marimuthu,Laju Nanwani",http://www.imdb.com/title/tt2387224/?ref_=adv_li_tt
70,Aaru,0,"Action, Thriller",2005,2005-12-09,Hari,Tamil,0,"Suriya,Trisha Krishnan,Vadivelu,Kalabhavan Mani,Malavikka,Ashish Vidyarthi,Aishwarya,Raj Kapoor,Delhi Ganesh,Crane Manohar,Singamuthu,Chaams,Bobby,Aryan",http://www.imdb.com/title/tt0455309/?ref_=adv_li_tt
71,Aarupushpangal,0,,1977,1977-11-10,K. Balakrishnan,Tamil,0,"Rajinikanth,Pandharibai,Aachi Manorama",http://www.imdb.com/title/tt0353150/?ref_=adv_li_tt
72,Aarya,0,"Drama, Romance",2007,,Balasekaran,Tamil,5000000,"Bhavana,Madhavan,Vadivelu",http://www.imdb.com/title/tt0977636/?ref_=adv_li_tt
73,Aasai,145,"Drama, Romance, Thriller",1995,,Vasanth,Tamil,0,"Ajith Kumar,Suvalakshmi,Prakash Raj,Rohini,Poornam Vishwanathan,Nizhalgal Ravi,Vadivelu,Pooja Batra,Raju Sundaram,Mounika",http://www.imdb.com/title/tt0377321/?ref_=adv_li_tt
74,Aasai Mugam,145,,1965,1965-12-10,P. Pullaiah,Tamil,0,"Saroja Devi B.,M.G. Ramachandran,Nagesh,M.N. Nambiar",http://www.imdb.com/title/tt0255809/?ref_=adv_li_tt
75,Aasaikku Vayasillai,0,Drama,1979,1979,,Tamil,0,,http://www.imdb.com/title/tt2710222/?ref_=adv_li_tt
76,Aathi,0,"Action, Drama, Romance",2006,2006-01-14,Ramana,Tamil,0,"Joseph Vijay,Trisha Krishnan,Vivek,Sai Kumar,Vijayakumar,Prakash Raj,Manivannan,Nassar,Malavika Avinash,Livingstone,Raj Kapoor,Rajan P. Dev,Sneha Nambiar,Adithya Menon,Karate Raja",http://www.imdb.com/title/tt0769499/?ref_=adv_li_tt
77,Aattanayagann,0,"Action, Comedy",2010,2010-12-17,Krishnaram,Tamil,0,"Ashwini,Lollu Sabha Jeeva,Ravi Kale,Adithya Menon,Ramya Nambeeshan,Nassar,Sachu,Santhanam,R. Sundarajan,Sakthi Vasu,Meera Vasudevan",http://www.imdb.com/title/tt4323928/?ref_=adv_li_tt
78,Aavarampoo,0,,1992,,Bharathan,Tamil,0,"Vineeth,Nandhini,Nassar,Goundamani,Sulakshana,Valsara Menon,Anu Anand,Indrajith,Vichithra,Bayilvan Ranganathan",http://www.imdb.com/title/tt0155469/?ref_=adv_li_tt
79,Aaya Vada Sutta Kathai,111,Comedy,2015,2015-03-20,Phanindra,Tamil,7500000,"Avitej,Supurna Malakar,Manikandan,Manoharan,Murugan,Sai Prashanth,Rajesh,Seenu,Shoban,Thangam",http://www.imdb.com/title/tt4800434/?ref_=adv_li_tt
80,Aayiram Nilavae Vaa,0,,1983,,A.S. Pragasam,Tamil,0,"Karthik,Sulakshana,Nagesh",http://www.imdb.com/title/tt0315139/?ref_=adv_li_tt
81,Aayiram Vilakku,0,Action,2011,2011-09-23,Hosimin,Tamil,0,"Shantanu Bhagyaraj,Delhi Ganesh,Kamal Kamaraju,'Ganja' Karuppu,Sana Khan,Muraliraj,Satyaraj,Suman,Suja Varunee,K.J. Yesudas",http://www.imdb.com/title/tt4339040/?ref_=adv_li_tt
82,Aayirathil Oruthi,0,,1975,,,Tamil,0,"Ashokan,K. Balaji,Kamal Haasan,Jayasudha,Suruli Rajan,S.V. Ramadoss,Srikanth,Thengai Srinivasan,Sujatha,K.R. Vijaya",http://www.imdb.com/title/tt5760166/?ref_=adv_li_tt
83,Aayirathil Oruvan,142,"Action, Adventure, Fantasy",2010,2010-01-14,K. Selvaraghavan,Tamil,320000000,"Karthi,Reema Sen,Andrea Jeremiah,Parthiban,Azhagam Perumal,Prathap Pothen",http://www.imdb.com/title/tt1512888/?ref_=adv_li_tt
84,Abhay,127,Fantasy,1995,1995-01-01,Annu Kapoor,Hindi,10000000,"Ankit Desai,Benjamin Gilani,Eka Lakhani,Nana Patekar,Moon Moon Sen,Mayank Sharma",http://www.imdb.com/title/tt2451894/?ref_=adv_li_tt
85,Abhimanyu,0,,1948,,A. Kasilingam,Tamil,0,M.G. Ramachandran,http://www.imdb.com/title/tt0040069/?ref_=adv_li_tt
86,Abhiyum Naanum,147,"Comedy, Drama",2008,2008-12-19,Radha Mohan,Tamil,0,"Prakash Raj,Trisha Krishnan,Aishwarya,Ganesh Venkatraman,Kumaravel,Sriranjani,Manmeet Singh,Prithviraj Sukumaran,Manobala,Thalaivasal Vijay",http://www.imdb.com/title/tt1526875/?ref_=adv_li_tt
87,Achamillai Achamillai,160,,1984,,K. Balachander,Tamil,0,"Delhi Ganesh,Rajesh,Saritha",http://www.imdb.com/title/tt0086848/?ref_=adv_li_tt
