id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
8098,Dubai Return,0,Comedy,2005,2008-09,Aditya Bhattacharya,Hindi,0,"Irrfan Khan,Vijay Maurya,Razak Khan,Divya Dutta,Ritu Shivpuri",http://www.imdb.com/title/tt0497611/?ref_=adv_li_tt
8099,Dubai Seenu,0,Comedy,2007,2007-06-07,Sreenu Vaitla,Telugu,0,"Ravi Teja,Nayanthara,J.D. Chakravarthi,Neha Bamb,M.S. Narayana,Venu Madhav,Suneel,Sayaji Shinde,Brahmanandam,Raghu Babu,Krishna Bhagavan,Bhanuchander,Master Bharath,Suraj Giri,Vajja Venkata Giridhar",http://www.imdb.com/title/tt0944195/?ref_=adv_li_tt
8100,Dubashi (The Translator),96,Drama,1999,1999-01-01,K. Hariharan,Tamil,0,,http://www.imdb.com/title/tt3766460/?ref_=adv_li_tt
8101,Dudh Bhaat,0,,1952,,Ram Narayan Gabale,Marathi,0,,http://www.imdb.com/title/tt0214648/?ref_=adv_li_tt
8102,Dudubasavanna,0,Musical,1978,,B.V. Prasad,Telugu,0,"Anjali Devi,Pandharibai,Unnimary",http://www.imdb.com/title/tt0371651/?ref_=adv_li_tt
8103,Duet,0,Musical,1994,1994,K. Balachander,Tamil,50000000,"Prabhu,Ramesh Aravind,Meenakshi Sheshadri,Prakash Raj,Senthil,Sarath Babu,Charlie,Subela Sudhakar,Kamal Haasan",http://www.imdb.com/title/tt0485204/?ref_=adv_li_tt
8104,Duhai,120,,1943,,V.M. Vyas,Hindi,0,"Ansari,Shanta Apte,Butt Kashar,M. Kumar,Noorjahan",http://www.imdb.com/title/tt0331235/?ref_=adv_li_tt
8105,Dui Adhyay,0,,1986,1986-04-18,Gautam Mukherjee,,0,"Samit Bhanja,Rajeshwari Raychowdhury,Santosh Dutta,Anup Kumar,Master Swarnendu",http://www.imdb.com/title/tt1598486/?ref_=adv_li_tt
8106,Dui Bari,0,,1963,1963-02-08,Ashim Pal,Bengali,0,"Tandra Burman,Anil Chatterjee,Pahadi Sanyal,Jahar Ganguli,Bhanu Bannerjee,Jahar Roy,Nripati Chatterjee,Tulsi Chakraborty,Anup Kumar,Gita Dey",http://www.imdb.com/title/tt1593671/?ref_=adv_li_tt
8107,Dui Bechara,0,,1960,1960-03-04,Dilip Bose,Bengali,0,"Kali Bannerjee,Tulsi Chakraborty,Anil Chatterjee,Anup Kumar,Kamal Mitra,Jahar Roy",http://www.imdb.com/title/tt1538259/?ref_=adv_li_tt
8108,Dui Beyai,0,,1953,,Premendra Mitra,Bengali,0,,http://www.imdb.com/title/tt0243227/?ref_=adv_li_tt
8109,Dui Bhai,0,,1961,,Sudhir Mukherjee,Bengali,0,"Uttam Kumar,Biswajeet,Sulata Chowdhury,Sabitri Chatterjee,Tarun Kumar,Sarit Bandyopadhyay,Sital Bannerjee,Jiben Bose,Tulsi Chakraborty,Ajit Chatterjee,Rama Das,Manik Dutt,Joy Narayan Mukherjee,Shailen Mukherjee,Khagen Pathak",http://www.imdb.com/title/tt0054831/?ref_=adv_li_tt
8110,Dui Nari,86,,1963,1963-07-05,,Bengali,0,"Bhanu Bannerjee,Supriya Choudhury,Anup Kumar,Jahar Roy,Pahadi Sanyal",http://www.imdb.com/title/tt1584020/?ref_=adv_li_tt
