id,name,duration,genre,titleYear,releaseDate,director,language,budget,cast,link
1615,Lajja,144,Drama,2016,2016-02,Narasimha Nandi,Telugu,0,"Madhumita,Shiva,Varun Aleti,Madhav,Mahanthi,Abhi,Pawani",http://www.imdb.com/title/tt5465308/?ref_=adv_li_tt
1616,Lakshadhikari,0,Drama,1963,1963-09-27,V. Madhusudan Rao,Telugu,0,"Taraka Rama Rao Nandamuri,Krishna Kumari,Ramana Reddy,Gummadi,Mikkilineni",http://www.imdb.com/title/tt0297244/?ref_=adv_li_tt
1617,Lakshmamma,0,,1950,,Tripuraneni Gopichand,Telugu,0,"C. Krishnaveni,Varalakshmi G.",http://www.imdb.com/title/tt0215922/?ref_=adv_li_tt
1618,Lakshmi,0,Drama,2006,2006-01-14,Vinayak V.V.,Telugu,0,"Brahmanandam,Venkatesh Daggubati,Rajeev Kanakala,Charmy Kaur,Sriram L.B.,Venu Madhav,Nayanthara,Revathi,Telangana Sakuntala,Sayaji Shinde,Pradeep Singh Rawat,Suneel",http://www.imdb.com/title/tt0813550/?ref_=adv_li_tt
1619,Lakshmi,0,,1979,,B.V. Prasad,Telugu,0,"Jayachitra,Chakrapani,Kongara Jaggaiah,Srikanth",http://www.imdb.com/title/tt0187232/?ref_=adv_li_tt
1620,Lakshmi,0,,1953,,Kadaru Nagabhushanam,Telugu,0,,http://www.imdb.com/title/tt0246029/?ref_=adv_li_tt
1621,Lakshmi Kalyanam,0,Drama,2007,2007-02-15,Teja,Telugu,0,"Kalyan Ram,Kajal Aggarwal,Ajay,Avinash,Raghu Babu,Harsha,Lakshmipati,Duvvasi Mohan,Prabha,Srinivasa Reddy,Telangana Sakuntala,Sayaji Shinde,Suhasini,Tulasi",http://www.imdb.com/title/tt0976132/?ref_=adv_li_tt
1622,Lakshmi Narasimha,171,"Action, Drama",2004,2004-01-14,Jayant Paranji,Telugu,0,"Asin,Prakash Raj,K. Viswanath,Rakshitha,Suneel,Krishna Bhagavan,Devi Charan,Nandamuri Bala Krishna,Sriram L.B.,Murali Mohan,M.S. Narayana,Venkateswara Rao Paruchuri,Aahuthi Prasad,Mukesh Rishi,Subbaraya Sarma",http://www.imdb.com/title/tt0929613/?ref_=adv_li_tt
1623,Lakshmi Pooja,0,"Drama, Family, Fantasy",1979,1979-11-16,Kommineni,Hindi,0,"Jagdeep,Asit Kumar Sen,Narasimha Raju,Master Nagaraju,Jayamalini,Meena T.,Chandrakala,Dhanalakshmi,Pandharibai,Rohini,Mohan Kapoor,Tyagraj",http://www.imdb.com/title/tt1303222/?ref_=adv_li_tt
1624,Lakshmi Putrudu,0,Drama,2008,2008,Raj Kapoor,Telugu,30000000,"Brahmanandam,Divya,Uday Kiran",http://www.imdb.com/title/tt1575606/?ref_=adv_li_tt
1625,Lakshmi Raave Maa Intiki,152,"Drama, Family, Romance",2014,2014-12-05,Nandyala Ravi,Telugu,0,"Avika Gor,Naresh,Rao Ramesh,Naga Shourya",http://www.imdb.com/title/tt4489046/?ref_=adv_li_tt
1626,Lakshminivasam,0,,1968,,V. Madhusudan Rao,Telugu,0,"Anjali Devi,Vanisri",http://www.imdb.com/title/tt0390178/?ref_=adv_li_tt
